,NEIGHBORHOOD,TOTAL,WHITE,AFRICAN_AMERICAN,NATIVE_AMERICAN,ASIAN,OTHER
0,Roslindale,30207,0.61,0.24,0.0,0.02,0.07
1,Jamaica Plain,43871,0.62,0.18,0.0,0.05,0.1
2,Mission Hill,14251,0.51,0.19,0.0,0.18,0.09
3,Longwood,6549,0.6,0.12,0.0,0.2,0.05
4,Bay Village,1465,0.64,0.03,0.0,0.26,0.03
5,Leather District,621,0.48,0.05,0.0,0.43,0.01
6,Chinatown,3113,0.5,0.05,0.0,0.41,0.01
7,North End,6785,0.91,0.02,0.0,0.04,0.02
8,Roxbury,53772,0.2,0.54,0.01,0.04,0.15
9,South End,24202,0.62,0.11,0.0,0.16,0.06
10,Back Bay,20755,0.77,0.06,0.0,0.12,0.02
11,East Boston,36754,0.62,0.03,0.0,0.04,0.05
12,Charlestown,16296,0.81,0.08,0.0,0.07,0.01
13,West End,6227,0.77,0.05,0.0,0.12,0.02
14,Beacon Hill,8930,0.88,0.02,0.0,0.06,0.01
15,Downtown,13835,0.66,0.04,0.0,0.25,0.02
16,Fenway,32156,0.63,0.07,0.0,0.21,0.04
17,Brighton,48561,0.72,0.05,0.0,0.15,0.05
18,West Roxbury,33439,0.73,0.13,0.0,0.07,0.03
19,Hyde Park,37974,0.34,0.49,0.0,0.02,0.1
20,Mattapan,26843,0.1,0.8,0.0,0.02,0.03
21,Dorchester,122539,0.28,0.5,0.0,0.1,0.08
22,South Boston Waterfront,6344,0.77,0.07,0.0,0.08,0.03
23,South Boston,36373,0.78,0.09,0.0,0.06,0.04
24,Allston,26650,0.59,0.07,0.0,0.24,0.07
25,Harbor Islands,99,0.44,0.22,0.0,0.0,0.22
