,Neighborhood,Total Pop.,18-19,20-24,25-29,30-34,35-44,45-54,55-64,65-74,75-84
0,Roslindale,29018,0.007,0.024,0.021,0.015,0.036,0.031,0.029,0.016,0.008
1,Jamaica Plain,42757,0.006,0.016,0.014,0.014,0.016,0.021,0.022,0.015,0.006
2,Mission Hill,13921,0.008,0.025,0.017,0.007,0.015,0.019,0.024,0.011,0.009
3,Longwood,6240,0.006,0.039,0.012,0.004,0.007,0.004,0.01,0.002,0.001
4,Bay Village,1398,0.001,0.004,0.001,0.007,0.0,0.002,0.002,0.005,0.0
5,Leather District,537,0.004,0.007,0.002,0.002,0.0,0.006,0.004,0.002,0.002
6,Chinatown,2718,0.003,0.007,0.002,0.002,0.001,0.004,0.004,0.003,0.001
7,North End,6962,0.001,0.001,0.001,0.002,0.003,0.003,0.002,0.0,0.0
8,Roxbury,50606,0.015,0.046,0.049,0.037,0.056,0.081,0.063,0.038,0.021
9,South End,23662,0.005,0.01,0.008,0.007,0.02,0.015,0.012,0.008,0.004
10,Back Bay,20693,0.006,0.006,0.004,0.008,0.007,0.008,0.008,0.002,0.004
11,East Boston,32951,0.0,0.004,0.003,0.004,0.004,0.004,0.001,0.002,0.001
12,Charlestown,14793,0.0,0.01,0.011,0.01,0.008,0.007,0.009,0.003,0.0
13,West End,5879,0.002,0.011,0.006,0.003,0.006,0.006,0.006,0.003,0.0
14,Beacon Hill,8521,0.0,0.0,0.0,0.003,0.005,0.003,0.004,0.0,0.0
15,Downtown,12488,0.004,0.007,0.002,0.004,0.006,0.006,0.006,0.002,0.001
16,Fenway,30799,0.012,0.018,0.005,0.005,0.005,0.005,0.005,0.002,0.001
17,Brighton,42703,0.0,0.012,0.007,0.003,0.003,0.004,0.004,0.002,0.001
18,West Roxbury,32651,0.0,0.005,0.011,0.009,0.011,0.011,0.009,0.005,0.001
19,Hyde Park,34541,0.012,0.04,0.034,0.028,0.063,0.076,0.061,0.029,0.019
20,Mattapan,24293,0.014,0.06,0.072,0.054,0.124,0.102,0.109,0.071,0.032
21,Dorchester,119898,0.018,0.041,0.042,0.034,0.064,0.066,0.051,0.03,0.012
22,South Boston Waterfront,5144,0.003,0.005,0.004,0.003,0.011,0.011,0.004,0.001,0.0
23,South Boston,35490,0.002,0.005,0.006,0.004,0.012,0.009,0.006,0.003,0.002
24,Allston,25376,0.006,0.026,0.009,0.007,0.008,0.001,0.004,0.003,0.0
25,Harbor Islands,71,0.0,0.085,0.042,0.042,0.099,0.056,0.042,0.028,0.0
