,NEIGHBORHOOD,Total,Male,M 18-19,M 20-24,M 25-29,M 30-34,M 35-44,M 45-54,M 55-64,M 65-74,M 75-84,M 55+,M 85+,Female,F 18-19,F 20-24,F 25-29,F 30-34,F 35-44,F 45-54,F 55-64,F 65-74,F 75-84,F 55+,F 85+,Total 55+,Total 18-29
0,Roslindale,29018,0.461,0.008,0.006,0.008,0.012,0.039,0.039,0.037,0.035,0.039,0.141,0.03,0.026,0.01,0.008,0.005,0.005,0.539,0.032,0.027,0.022,0.02,0.079,0.009,0.22,0.045
1,Jamaica Plain,42757,0.466,0.009,0.009,0.011,0.024,0.066,0.051,0.038,0.028,0.032,0.126,0.028,0.024,0.011,0.006,0.006,0.004,0.534,0.026,0.021,0.018,0.019,0.069,0.011,0.195,0.051
2,Mission Hill,13921,0.509,0.045,0.036,0.035,0.093,0.071,0.026,0.027,0.014,0.012,0.074,0.021,0.014,0.009,0.009,0.004,0.004,0.49,0.015,0.018,0.013,0.011,0.09,0.048,0.164,0.139
3,Longwood,6240,0.387,0.1,0.048,0.034,0.056,0.037,0.012,0.014,0.013,0.008,0.044,0.007,0.006,0.004,0.004,0.001,0.002,0.613,0.005,0.02,0.007,0.007,0.227,0.193,0.27,0.191
4,Bay Village,1398,0.476,0.021,0.008,0.006,0.014,0.054,0.069,0.024,0.026,0.026,0.097,0.021,0.041,0.024,0.007,0.009,0.019,0.525,0.016,0.014,0.009,0.006,0.074,0.045,0.172,0.075
5,Leather District,537,0.467,0.048,0.02,0.013,0.02,0.054,0.035,0.026,0.011,0.034,0.099,0.028,0.035,0.011,0.009,0.009,0.009,0.533,0.019,0.009,0.004,0.007,0.115,0.095,0.214,0.112
6,Chinatown,2718,0.468,0.046,0.019,0.013,0.019,0.053,0.04,0.025,0.012,0.032,0.096,0.026,0.035,0.012,0.009,0.01,0.011,0.532,0.018,0.01,0.005,0.008,0.113,0.09,0.209,0.109
7,North End,6962,0.516,0.003,0.005,0.009,0.048,0.146,0.078,0.039,0.024,0.028,0.114,0.024,0.021,0.015,0.012,0.011,0.008,0.484,0.01,0.006,0.005,0.0,0.017,0.005,0.131,0.056
8,Roxbury,50606,0.474,0.029,0.017,0.016,0.035,0.044,0.027,0.023,0.027,0.025,0.102,0.027,0.023,0.01,0.007,0.004,0.003,0.526,0.028,0.03,0.026,0.023,0.107,0.029,0.21,0.083
9,South End,23662,0.514,0.01,0.008,0.011,0.029,0.067,0.066,0.032,0.036,0.041,0.14,0.031,0.035,0.013,0.009,0.007,0.01,0.486,0.025,0.014,0.017,0.006,0.054,0.016,0.194,0.057
10,Back Bay,20693,0.464,0.038,0.015,0.01,0.034,0.08,0.054,0.031,0.025,0.021,0.097,0.02,0.023,0.015,0.011,0.008,0.003,0.536,0.012,0.011,0.004,0.005,0.05,0.031,0.147,0.096
11,East Boston,32951,0.552,0.009,0.011,0.009,0.029,0.061,0.071,0.047,0.054,0.029,0.178,0.048,0.025,0.011,0.005,0.004,0.003,0.448,0.031,0.034,0.02,0.017,0.078,0.007,0.256,0.049
12,Charlestown,14793,0.449,0.003,0.003,0.002,0.013,0.054,0.068,0.044,0.04,0.018,0.123,0.02,0.025,0.011,0.005,0.002,0.002,0.551,0.052,0.032,0.018,0.007,0.06,0.004,0.183,0.026
13,West End,5879,0.526,0.009,0.004,0.021,0.044,0.104,0.059,0.059,0.034,0.025,0.145,0.028,0.018,0.011,0.019,0.011,0.005,0.474,0.022,0.003,0.012,0.0,0.033,0.017,0.178,0.075
14,Beacon Hill,8521,0.481,0.001,0.002,0.008,0.027,0.124,0.08,0.025,0.028,0.021,0.097,0.022,0.02,0.022,0.007,0.005,0.001,0.518,0.023,0.013,0.01,0.003,0.032,0.007,0.129,0.045
15,Downtown,12488,0.504,0.026,0.012,0.011,0.029,0.079,0.06,0.028,0.023,0.035,0.11,0.025,0.036,0.015,0.01,0.011,0.01,0.496,0.016,0.007,0.005,0.004,0.07,0.053,0.18,0.085
16,Fenway,30799,0.47,0.113,0.053,0.037,0.055,0.066,0.039,0.019,0.012,0.01,0.051,0.01,0.011,0.003,0.004,0.004,0.003,0.53,0.006,0.004,0.002,0.003,0.147,0.139,0.198,0.214
17,Brighton,42703,0.448,0.014,0.026,0.017,0.045,0.107,0.048,0.026,0.017,0.016,0.073,0.014,0.014,0.011,0.01,0.009,0.006,0.552,0.021,0.011,0.008,0.007,0.047,0.022,0.12,0.086
18,West Roxbury,32651,0.453,0.006,0.005,0.003,0.015,0.032,0.029,0.034,0.034,0.035,0.138,0.036,0.035,0.017,0.008,0.009,0.011,0.547,0.045,0.028,0.028,0.019,0.078,0.003,0.216,0.048
19,Hyde Park,34541,0.476,0.014,0.01,0.006,0.025,0.035,0.032,0.022,0.037,0.038,0.126,0.029,0.033,0.013,0.01,0.009,0.007,0.524,0.03,0.029,0.035,0.016,0.088,0.009,0.214,0.061
20,Mattapan,24293,0.478,0.008,0.004,0.011,0.02,0.041,0.034,0.027,0.039,0.035,0.123,0.023,0.032,0.017,0.013,0.004,0.004,0.522,0.024,0.027,0.028,0.023,0.089,0.009,0.212,0.057
21,Dorchester,119898,0.479,0.015,0.007,0.01,0.025,0.048,0.043,0.031,0.033,0.033,0.129,0.031,0.028,0.01,0.005,0.003,0.004,0.52,0.033,0.032,0.033,0.019,0.097,0.014,0.225,0.05
22,South Boston Waterfront,5144,0.496,0.01,0.003,0.007,0.035,0.117,0.073,0.046,0.025,0.025,0.122,0.026,0.027,0.008,0.005,0.002,0.001,0.503,0.016,0.015,0.018,0.01,0.05,0.006,0.172,0.034
23,South Boston,35490,0.49,0.005,0.003,0.003,0.023,0.12,0.06,0.035,0.029,0.029,0.121,0.028,0.025,0.011,0.006,0.005,0.005,0.509,0.021,0.019,0.017,0.008,0.048,0.005,0.169,0.034
24,Allston,25376,0.477,0.052,0.032,0.029,0.058,0.121,0.048,0.025,0.016,0.009,0.066,0.016,0.012,0.003,0.004,0.003,0.002,0.523,0.012,0.004,0.009,0.004,0.092,0.075,0.158,0.122
25,Harbor Islands,71,0.479,0.0,0.0,0.0,0.014,0.014,0.042,0.028,0.07,0.042,0.197,0.056,0.113,0.028,0.0,0.0,0.0,0.535,0.0,0.0,0.0,0.0,0.014,0.014,0.211,0.028
