,name,race
0,Berry,white
1,Moore,white
2,—,api
3,Law,white
4,Law,white
5,Crowley,white
6,victims’,white
7,Berry,white
8,Berry,white
9,Springsteen,white
10,Springsteen,white
11,Berry,white
12,Moore,white
13,—,api
14,Richards,white
15,Moore,white
16,Moore,white
17,Winfrey,white
18,Fey,white
19,Moore,white
20,Oscar,white
21,T,api
22,Coleman,white
23,Ford,white
24,Wilkins,white
25,Innis,white
26,Banks,white
27,Anderson,white
28,Andrus,white
29,McCorvey,white
30,Wade,white
31,Yankelovich,white
32,Kohl,white
33,Xiaobo,white
34,McGuinness,white
35,Yevtushenko,white
36,Shepard,white
37,Gehrig’s,white
38,Walcott,white
39,Ashbery,white
40,Wilbur,white
41,Donleavy,white
42,Millett,white
43,Johnson,white
44,Krouse,white
45,Rosenthal,white
46,Berry,white
47,Band,white
48,Allman,white
49,Campbell,white
50,Geils,white
51,Geils,white
52,Peters,white
53,Conrad,white
54,Gedda,white
55,Hvorostovsky,white
56,Lewis,white
57,Rickles,white
58,Gregory,white
59,Oscar,white
60,Demme,white
61,Landau,white
62,Moreau,white
63,Moore’s,white
64,Cassidy,white
65,Nabors,white
66,Mayberry,white
67,Pyle,white
68,West,white
69,Berman,white
70,Corey,white
71,Reese,white
72,Connors,white
73,Boothe,white
74,Marie,white
75,Barris,white
76,Wapner,white
77,Hefner,white
78,Ailes,white
79,Breslin,white
80,Smith,white
81,—,api
82,Hentoff,white
83,Deford,white
84,S,api
85,Enberg,white
86,Ohlmeyer,white
87,Swope,white
88,Rosenquist,white
89,Stevenson,white
90,Ziegler,white
91,Stanczak,white
92,Doerr,white
93,Schmidt,white
94,Piersall,white
95,Conley,white
96,Babe,white
97,Parilli,white
98,Glenn,white
99,Doak,white
100,Bunning,white
101,LaMotta,white
102,Rooney,white
103,Parseghian,white
104,MacPherson,white
105,Meyer,white
106,Halladay,white
107,Baylor,white
108,Kennedy,white
109,Hawkins,white
110,Stallworth,white
111,Segura,hispanic
112,Taylor,white
113,Huskey,white
114,Youngner,white
115,Starzl,white
116,Leboyer,white
117,Dresselhaus,white
118,MIT,api
119,Rev,white
120,Monan,white
121,Termeer,white
122,Farmer,white
123,Littlefield,white
124,DeNucci,white
125,Timilty,white
126,Albert,white
127,Chayet,white
128,Lipson,white
129,Honeysucker,white
130,Guscott,white
131,Elkus,white
132,Stepanian,white
133,Cutler,white
134,Hudner,white
135,White,white
136,Phelps,white
137,Negri,white
138,Madden,white
139,Woodlief,white
140,Manson,white
141,Hernandez,hispanic
